Densidad de estados ,Tiempo de ejecución, 1.52301400562e9 
 Parámetros 
 n, J, B, pasos, frecuencia, bins 
  30, 1, 0, 1000000, 10000, 420 
  E_i, E_f, S, DOS 
-1.8380952381, -1.8333333333, 15565.111831665, 6.953103580510884288825054310602128325932301250523762862628005900810588769252892e+6759 
-1.8333333333, -1.8285714286, 15567.3069610596, 6.244695727737905313515122156654770925342610646196703423755225373354830918343218e+6760 
-1.8285714286, -1.8238095238, 15569.4187774658, 5.160140114292339633628502692898099146341522370998320764032887572448366805985508e+6761 
-1.8238095238, -1.819047619, 15571.5443572998, 4.323038338162993298348895659995472375035107720917444978409974154326954668187486e+6762 
-1.819047619, -1.8142857143, 15573.6822967529, 3.666776118444555090474552060798209066204344613519924625384695425916669671220397e+6763 
-1.8142857143, -1.8095238095, 15575.7467193604, 2.8896932328158224601340329316091880038528090331459671481634527214521266099529e+6764 
-1.8095238095, -1.8047619048, 15577.8663787842, 2.406623383743156230416502384824951645217240309150584391643759172687715130350000e+6765 
-1.8047619048, -1.8, 15579.9100952148, 1.857731309329893856452926746444274233073039593859432103424332561300325269837031e+6766 
-1.8, -1.7952380952, 15584.204284668, 1.36121173448462693155989291227593563869716611050960439218201659646548034320858e+6768 
-1.7952380952, -1.7904761905, 15586.13230896, 9.359572124947111679520971620136242956106790680196452880565265856074552997052072e+6768 
-1.7904761905, -1.7857142857, 15588.1681976318, 7.168548225530098465773592599843302272421336851468186078960052233508889277474999e+6769 
-1.7857142857, -1.780952381, 15590.197769165, 5.455856371437957862184181140717164858307873391508680792456150596018575070502662e+6770 
-1.780952381, -1.7761904762, 15592.2424163818, 4.215430490079167033139168865218355571987449562018148821408665186268118111896382e+6771 
-1.7761904762, -1.7714285714, 15594.3189697266, 3.362618449495667089314560832195539975113960356345545188670815328210773798009682e+6772 
-1.7714285714, -1.7666666667, 15596.309387207, 2.460962068702416468693361395456419445084192312166129848934585430806175127615471e+6773 
-1.7666666667, -1.7619047619, 15598.3303375244, 1.856916994630147964653747517836325937966528326736358845870421872420695630145015e+6774 
-1.7619047619, -1.7571428571, 15600.3558502197, 1.40754237202912526218654361873026950370627701130698238863718423466747165819329e+6775 
-1.7571428571, -1.7523809524, 15602.3368377686, 1.020454014937365829431121620392387523095156770064681583112449182004241988272621e+6776 
-1.7523809524, -1.7476190476, 15604.3439483643, 7.593998290108450237662008636754814067326358888329286492793374742681421015233473e+6776 
